#separator:tab
#html:true
You should take the subway.[sound:google-e44a93e1-3e8ae98c-cab8d825-0c9d222a-74d21360.mp3]	Você deveria pegar o metrô.
Where is the nearest train station?[sound:google-5d0a1272-76698f90-1e4ceb19-1b31aefd-9b0970e1.mp3]	Onde é a estação de trem mais próxima?
Turn left at the next corner.[sound:google-642f64f1-13450666-b04c9e62-ee590168-2339ab51.mp3]	Vire à esquerda na próxima esquina.
Can I get there by bus?[sound:google-d7475dd6-68c2f809-e1904748-51011339-6d3b41ce.mp3]	Eu consigo chegar lá de ônibus?
We can walk there.[sound:google-0c350fd9-5cef93f0-4b19ae62-bd9f9f34-f3e4a56b.mp3]	Nós podemos andar até lá.
There's nowhere to park.[sound:google-8c4359aa-f9a91ef8-cc3665dd-ac674be9-52f9dacf.mp3]	Não há lugar para estacionar.
Turn right at the traffic lights.[sound:google-b84118f8-1b2691b6-657b2c41-6c16fbfd-bd4d6ca7.mp3]	Vire à direita no semáforo.
I think we're lost![sound:google-f1d7330f-0af9fce4-3fb60071-fb6f9e29-9211ce09.mp3]	Acho que estamos perdidas!
Can you drive?[sound:google-0200485e-1b1514c3-76b940f2-f8b838c3-7fb690b0.mp3]	Você pode dirigir?
A round-trip ticket to Dallas, please.	Uma passagem de ida e volta a Dallas, por favor.
The library is right next to the bank.[sound:google-8f6972bb-8b347c75-2f3f2e40-a9f3b020-9411f565.mp3]	A biblioteca fica ao lado do banco.
How long does it take to get there?[sound:google-35157be9-b84675e9-cc177ce5-1e80d051-6490f6bc.mp3]	Quanto demora para chegar lá?
Flight 302 to Miami is now boarding.[sound:google-b932b672-2f0f5d74-9cd4ec27-ab84a2de-a49c82e1.mp3]	O voo 302 para Miami está embarcando agora.
Take the B line.&nbsp;[sound:google-90f04d5d-4ec6fd91-d782371b-3ee58612-7737affa.mp3]	Pegue a linha B.
Get off at Harvard Avenue.[sound:google-ac8ae350-3e5965c2-16206ed6-8fbec704-deb514fd.mp3]	Desça na Avenida Harvard.
A table for two, please.[sound:google-26ae638e-c31ab79b-a5f835df-0d7f97e1-fb18e001.mp3]	Uma mesa para dois, por favor.
Can we have the menu?[sound:google-07b3191f-14080aa2-15e78fa4-33dc9d24-c8e945b6.mp3]	Podemos ver o menu?
Are you ready to order?[sound:google-9d1dad71-e00afd07-a6277588-04ca87fb-22cae3f3.mp3]	Você está pronta para pedir?
I'll have a beer.[sound:google-ebab7205-c270f8c0-0f28fe42-962282fa-77e1250a.mp3]	Eu quero uma cerveja.
I'd like the lasagna, please.[sound:google-f26d51a2-e55a4424-3deba472-1535cac0-42417d4e.mp3]	Eu quero a lasanha, por favor.
